	Feature	Importance	Std
22	GFR	0.081963	0.012485
20	SerumCreatinine	0.063976	0.016477
39	Edema	0.018727	0.005295
18	FastingBloodSugar	0.016489	0.006012
43	Itching	0.014833	0.003119
16	SystolicBP	0.013759	0.007534
42	MuscleCramps	0.010442	0.007452
23	ProteinInUrine	0.007350	0.007747
21	BUNLevels	0.006348	0.002697
46	OccupationalExposureChemicals	0.006154	0.003822
4	EducationLevel	0.005392	0.002141
12	FamilyHistoryHypertension	0.004794	0.002949
29	HemoglobinLevels	0.004508	0.002519
5	BMI	0.004365	0.004417
44	QualityOfLifeScore	0.004247	0.002656
41	NauseaVomiting	0.004160	0.001401
9	DietQuality	0.004084	0.003135
1	Gender	0.003680	0.002633
17	DiastolicBP	0.003164	0.003499
10	SleepQuality	0.002448	0.002435
25	SerumElectrolytesSodium	0.002428	0.001344
33	CholesterolTriglycerides	0.002320	0.001757
30	CholesterolTotal	0.002188	0.001432
35	Diuretics	0.002024	0.001859
19	HbA1c	0.001738	0.002491
2	Ethnicity	0.001697	0.003888
38	AntidiabeticMedications	0.001600	0.001149
26	SerumElectrolytesPotassium	0.001329	0.000555
0	Age	0.001324	0.000342
7	AlcoholConsumption	0.001252	0.001282
14	PreviousAcuteKidneyInjury	0.000961	0.002844
6	Smoking	0.000797	0.003978
45	HeavyMetalsExposure	0.000746	0.002831
3	SocioeconomicStatus	0.000613	0.000815
8	PhysicalActivity	0.000414	0.000279
40	FatigueLevels	0.000245	0.001804
36	NSAIDsUse	0.000031	0.000810
37	Statins	0.000026	0.002682
32	CholesterolHDL	-0.000179	0.003771
15	UrinaryTractInfections	-0.000189	0.008105
24	ACR	-0.000204	0.002742
50	HealthLiteracy	-0.000210	0.001390
34	ACEInhibitors	-0.000245	0.000268
48	MedicalCheckupsFrequency	-0.000470	0.001329
27	SerumElectrolytesCalcium	-0.000613	0.001461
13	FamilyHistoryDiabetes	-0.000818	0.002262
49	MedicationAdherence	-0.001038	0.000545
28	SerumElectrolytesPhosphorus	-0.001094	0.001110
31	CholesterolLDL	-0.001758	0.001334
47	WaterQuality	-0.002315	0.000343
11	FamilyHistoryKidneyDisease	-0.023828	0.035894
